time_period,location,disease_cases
2022-10,PdRpVxkVd9a,95
2022-10,QfZ2pVPRFmz,674
2022-10,QzI3Btz60Ne,107
2022-10,RSAZqrdfXy5,11
2022-10,RZxElQxEbZN,2
2022-10,S8J6p6tGXNb,33
2022-10,SJQ2e9HUvaG,10
2022-10,U8Rk7sYzFmK,104
2022-10,VoOb1wMwKp0,55
2022-10,Wep3D4POB3H,5
2022-10,WfE2smSUNDt,6
2022-10,Yacp1fLlWut,2
2022-10,YmFSl06J6cs,13
2022-10,YnUoe8z0OJY,170
2022-10,ZIo35uAAfZo,7
2022-10,ZULmwVN4Zfv,43
2022-10,ZVmULoI6vcV,301
2022-10,bWmwn3sMsG0,51
2022-10,bX87SmYR3TJ,6
2022-10,bjS2Lp3tLxv,575
2022-10,cMWLZfK0O4z,15
2022-10,eW2b8SUYRWt,77
